code;problem_1;problem_2;problem_3;problem_4;problems
;;;;;___
P2535 ;Ignition Switch Run/Start Position Circuit High;;;;Ignition Switch Run/Start Position Circuit High___
;;;;;___
P2536 ;Ignition Switch Accessory Position Circuit;;;;Ignition Switch Accessory Position Circuit___
;;;;;___
P2537 ;Ignition Switch Accessory Position Circuit Low;;;;Ignition Switch Accessory Position Circuit Low___
;;;;;___
P2538 ;Ignition Switch Accessory Position Circuit High;;;;Ignition Switch Accessory Position Circuit High___
;;;;;___
P2539 ;Low Pressure Fuel System Sensor Circuit;;;;Low Pressure Fuel System Sensor Circuit___
;;;;;___
P253A ;PTO Sense Circuit/Open;;;;PTO Sense Circuit/Open___
;;;;;___
P253B ;PTO Sense Circuit Range/Performance;;;;PTO Sense Circuit Range/Performance___
;;;;;___
P253C ;PTO Sense Circuit Low;;;;PTO Sense Circuit Low___
;;;;;___
P253D ;PTO Sense Circuit High;;;;PTO Sense Circuit High___
;;;;;___
P253E ;PTO Sense Circuit Intermittent/Erratic;;;;PTO Sense Circuit Intermittent/Erratic___
;;;;;___
P253F ;Engine Oil Deteriorated;;;;Engine Oil Deteriorated___
;;;;;___
P2540 ;Low Pressure Fuel System Sensor Circuit Range/Performance;;;;Low Pressure Fuel System Sensor Circuit Range/Performance___
;;;;;___
P2541 ;Low Pressure Fuel System Sensor Circuit Low;;;;Low Pressure Fuel System Sensor Circuit Low___
;;;;;___
P2542 ;Low Pressure Fuel System Sensor Circuit High;;;;Low Pressure Fuel System Sensor Circuit High___
;;;;;___
P2543 ;Low Pressure Fuel System Sensor Circuit Intermittent;;;;Low Pressure Fuel System Sensor Circuit Intermittent___
;;;;;___
P2544 ;"Torque Management Request Input Signal ""A""";;;;"Torque Management Request Input Signal ""A""___"
;;;;;___
P2545 ;"Torque Management Request Input Signal ""A"" Range/Performance";;;;"Torque Management Request Input Signal ""A"" Range/Performance___"
;;;;;___
P2546 ;"Torque Management Request Input Signal ""A"" Low";;;;"Torque Management Request Input Signal ""A"" Low___"
;;;;;___
P2547 ;"Torque Management Request Input Signal ""A"" High";;;;"Torque Management Request Input Signal ""A"" High___"
;;;;;___
P2548 ;"Torque Management Request Input Signal ""B""";;;;"Torque Management Request Input Signal ""B""___"
;;;;;___
P2549 ;"Torque Management Request Input Signal ""B"" Range/Performance";;;;"Torque Management Request Input Signal ""B"" Range/Performance___"
;;;;;___
P254A ;PTO Speed Selector Sensor/Switch 1 Circuit/Open;;;;PTO Speed Selector Sensor/Switch 1 Circuit/Open___
;;;;;___
P254B ;PTO Speed Selector Sensor/Switch 1 Range/Performance;;;;PTO Speed Selector Sensor/Switch 1 Range/Performance___
;;;;;___
P254C ;PTO Speed Selector Sensor/Switch 1 Circuit Low;;;;PTO Speed Selector Sensor/Switch 1 Circuit Low___
;;;;;___
P254D ;PTO Speed Selector Sensor/Switch 1 Circuit High;;;;PTO Speed Selector Sensor/Switch 1 Circuit High___
;;;;;___
P254E ;PTO Speed Selector Sensor/Switch 1 Circuit Intermittent/Erratic;;;;PTO Speed Selector Sensor/Switch 1 Circuit Intermittent/Erratic___
;;;;;___
P254F ;Engine Hood Switch Circuit;;;;Engine Hood Switch Circuit___
;;;;;___
P2550 ;"Torque Management Request Input Signal ""B"" Low";;;;"Torque Management Request Input Signal ""B"" Low___"
;;;;;___
P2551 ;"Torque Management Request Input Signal ""B"" High";;;;"Torque Management Request Input Signal ""B"" High___"
;;;;;___
P2552 ;Throttle/Fuel Inhibit Circuit;;;;Throttle/Fuel Inhibit Circuit___
;;;;;___
P2553 ;Throttle/Fuel Inhibit Circuit Range/Performance;;;;Throttle/Fuel Inhibit Circuit Range/Performance___
;;;;;___
P2554 ;Throttle/Fuel Inhibit Circuit Low;;;;Throttle/Fuel Inhibit Circuit Low___
;;;;;___
P2555 ;Throttle/Fuel Inhibit Circuit High;;;;Throttle/Fuel Inhibit Circuit High___
;;;;;___
P2556 ;Engine Coolant Level Sensor/Switch Circuit;;;;Engine Coolant Level Sensor/Switch Circuit___
;;;;;___
P2557 ;Engine Coolant Level Sensor/Switch Circuit Range/Performance;;;;Engine Coolant Level Sensor/Switch Circuit Range/Performance___
;;;;;___
P2558 ;Engine Coolant Level Sensor/Switch Circuit Low;;;;Engine Coolant Level Sensor/Switch Circuit Low___
;;;;;___
P2559 ;Engine Coolant Level Sensor/Switch Circuit High;;;;Engine Coolant Level Sensor/Switch Circuit High___
;;;;;___
P255A ;PTO Speed Selector Sensor/Switch 2 Circuit/Open;;;;PTO Speed Selector Sensor/Switch 2 Circuit/Open___
;;;;;___
P255B ;PTO Speed Selector Sensor/Switch 2 Range/Performance;;;;PTO Speed Selector Sensor/Switch 2 Range/Performance___
;;;;;___
P255C ;PTO Speed Selector Sensor/Switch 2 Circuit Low;;;;PTO Speed Selector Sensor/Switch 2 Circuit Low___
;;;;;___
P255D ;PTO Speed Selector Sensor/Switch 2 Circuit High;;;;PTO Speed Selector Sensor/Switch 2 Circuit High___
;;;;;___
P255E ;PTO Speed Selector Sensor/Switch 2 Circuit Intermittent/Erratic;;;;PTO Speed Selector Sensor/Switch 2 Circuit Intermittent/Erratic___
;;;;;___
P255F ;"A/C Request ""A"" Circuit Range/Performance";;;;"A/C Request ""A"" Circuit Range/Performance___"
;;;;;___
P2560 ;Engine Coolant Level Low;;;;Engine Coolant Level Low___
;;;;;___
P2561 ;A/C Control Module Requested MIL Illumination;;;;A/C Control Module Requested MIL Illumination___
;;;;;___
P2562 ;"Turbocharger Boost Control Position Sensor ""A"" Circuit";;;;"Turbocharger Boost Control Position Sensor ""A"" Circuit___"
;;;;;___
P2563 ;"Turbocharger Boost Control Position Sensor ""A"" Circuit Range/Performance";;;;"Turbocharger Boost Control Position Sensor ""A"" Circuit Range/Performance___"
;;;;;___
P2564 ;"Turbocharger Boost Control Position Sensor ""A"" Circuit Low";;;;"Turbocharger Boost Control Position Sensor ""A"" Circuit Low___"
;;;;;___
P2565 ;"Turbocharger Boost Control Position Sensor ""A"" Circuit High";;;;"Turbocharger Boost Control Position Sensor ""A"" Circuit High___"
;;;;;___
P2566 ;"Turbocharger Boost Control Position Sensor ""A"" Circuit Intermittent";;;;"Turbocharger Boost Control Position Sensor ""A"" Circuit Intermittent___"
;;;;;___
P2567 ;Direct Ozone Reduction Catalyst Temperature Sensor Circuit;;;;Direct Ozone Reduction Catalyst Temperature Sensor Circuit___
;;;;;___
P2568 ;Direct Ozone Reduction Catalyst Temperature Sensor Circuit Range/Performance;;;;Direct Ozone Reduction Catalyst Temperature Sensor Circuit Range/Performance___
;;;;;___
P2569 ;Direct Ozone Reduction Catalyst Temperature Sensor Circuit Low;;;;Direct Ozone Reduction Catalyst Temperature Sensor Circuit Low___
;;;;;___
P256A ;Engine Idle Speed Selector Sensor/Switch Circuit/Open;;;;Engine Idle Speed Selector Sensor/Switch Circuit/Open___
;;;;;___
P256B ;Engine Idle Speed Selector Sensor/Switch Range/Performance;;;;Engine Idle Speed Selector Sensor/Switch Range/Performance___
;;;;;___
P256C ;Engine Idle Speed Selector Sensor/Switch Circuit Low;;;;Engine Idle Speed Selector Sensor/Switch Circuit Low___
;;;;;___
P256D ;Engine Idle Speed Selector Sensor/Switch Circuit High;;;;Engine Idle Speed Selector Sensor/Switch Circuit High___
;;;;;___
P256E ;Engine Idle Speed Selector Sensor/Switch Circuit Intermittent/Erratic;;;;Engine Idle Speed Selector Sensor/Switch Circuit Intermittent/Erratic___
;;;;;___
P256F ;"A/C Request ""B"" Circuit Range/Performance";;;;"A/C Request ""B"" Circuit Range/Performance___"
;;;;;___
P2570 ;Direct Ozone Reduction Catalyst Temperature Sensor Circuit High;;;;Direct Ozone Reduction Catalyst Temperature Sensor Circuit High___
;;;;;___
P2571 ;Direct Ozone Reduction Catalyst Temperature Sensor Circuit Intermittent/Erratic;;;;Direct Ozone Reduction Catalyst Temperature Sensor Circuit Intermittent/Erratic___
;;;;;___
P2572 ;Direct Ozone Reduction Catalyst Deterioration Sensor Circuit;;;;Direct Ozone Reduction Catalyst Deterioration Sensor Circuit___
;;;;;___
P2573 ;Direct Ozone Reduction Catalyst Deterioration Sensor Circuit Range/Performance;;;;Direct Ozone Reduction Catalyst Deterioration Sensor Circuit Range/Performance___
;;;;;___
P2574 ;Direct Ozone Reduction Catalyst Deterioration Sensor Circuit Low;;;;Direct Ozone Reduction Catalyst Deterioration Sensor Circuit Low___
;;;;;___
P2575 ;Direct Ozone Reduction Catalyst Deterioration Sensor Circuit High;;;;Direct Ozone Reduction Catalyst Deterioration Sensor Circuit High___
;;;;;___
P2576 ;Direct Ozone Reduction Catalyst Deterioration Sensor Circuit Intermittent/Erratic;;;;Direct Ozone Reduction Catalyst Deterioration Sensor Circuit Intermittent/Erratic___
;;;;;___
P2577 ;Direct Ozone Reduction Catalyst Efficiency Below Threshold;;;;Direct Ozone Reduction Catalyst Efficiency Below Threshold___
;;;;;___
P2578 ;Turbocharger Speed Sensor Circuit;;;;Turbocharger Speed Sensor Circuit___
;;;;;___
P2579 ;Turbocharger Speed Sensor Circuit Range/Performance;;;;Turbocharger Speed Sensor Circuit Range/Performance___
;;;;;___
P257A ;Vacuum Reservoir Control Circuit/Open;;;;Vacuum Reservoir Control Circuit/Open___
;;;;;___
P257B ;Vacuum Reservoir Control Circuit Low;;;;Vacuum Reservoir Control Circuit Low___
;;;;;___
P257C ;Vacuum Reservoir Control Circuit High;;;;Vacuum Reservoir Control Circuit High___
;;;;;___
P257D ;Engine Hood Switch Circuit Range/Performance;;;;Engine Hood Switch Circuit Range/Performance___
;;;;;___
P257E ;Engine Hood Switch Circuit Low;;;;Engine Hood Switch Circuit Low___
;;;;;___
P257F ;Engine Hood Switch Circuit High;;;;Engine Hood Switch Circuit High___
;;;;;___
P2580 ;Turbocharger Speed Sensor Circuit Low;;;;Turbocharger Speed Sensor Circuit Low___
;;;;;___
P2581 ;Turbocharger Speed Sensor Circuit High;;;;Turbocharger Speed Sensor Circuit High___
;;;;;___
P2582 ;Turbocharger Speed Sensor Circuit Intermittent;;;;Turbocharger Speed Sensor Circuit Intermittent___
;;;;;___
P2583 ;Cruise Control Front Distance Range Sensor Single Sensor or Center;;;;Cruise Control Front Distance Range Sensor Single Sensor or Center___
;;;;;___
P2584 ;Fuel Additive Control Module Requested MIL Illumination;;;;Fuel Additive Control Module Requested MIL Illumination___
;;;;;___
P2585 ;Fuel Additive Control Module Warning Lamp Request;;;;Fuel Additive Control Module Warning Lamp Request___
;;;;;___
P2586 ;"Turbocharger Boost Control Position Sensor ""B"" Circuit";;;;"Turbocharger Boost Control Position Sensor ""B"" Circuit___"
;;;;;___
P2587 ;"Turbocharger Boost Control Position Sensor ""B"" Circuit Range/Performance";;;;"Turbocharger Boost Control Position Sensor ""B"" Circuit Range/Performance___"
;;;;;___
P2588 ;"Turbocharger Boost Control Position Sensor ""B"" Circuit Low";;;;"Turbocharger Boost Control Position Sensor ""B"" Circuit Low___"
;;;;;___
P2589 ;"Turbocharger Boost Control Position Sensor ""B"" Circuit High";;;;"Turbocharger Boost Control Position Sensor ""B"" Circuit High___"
;;;;;___
P258A ;Vacuum Pump Control Circuit/Open;;;;Vacuum Pump Control Circuit/Open___
;;;;;___
P258B ;Vacuum Pump Control Range/Performance;;;;Vacuum Pump Control Range/Performance___
;;;;;___
P258C ;Vacuum Pump Control Circuit Low;;;;Vacuum Pump Control Circuit Low___
;;;;;___
P258D ;Vacuum Pump Control Circuit High;;;;Vacuum Pump Control Circuit High___
;;;;;___
P258E ;PTO Enable Switch Performance;;;;PTO Enable Switch Performance___
;;;;;___
P258F ;Torque Management Request Output Signal;;;;Torque Management Request Output Signal___
;;;;;___
P2590 ;"Turbocharger Boost Control Position Sensor ""B"" Circuit Intermittent/Erratic";;;;"Turbocharger Boost Control Position Sensor ""B"" Circuit Intermittent/Erratic___"
;;;;;___
P2591 ;Cruise Control Front Distance Range Sensor Left;;;;Cruise Control Front Distance Range Sensor Left___
;;;;;___
P2592 ;Cruise Control Front Distance Range Sensor Right;;;;Cruise Control Front Distance Range Sensor Right___
;;;;;___
P2593 ;ISO/SAE Reserved;;;;ISO/SAE Reserved___
;;;;;___
P25FF ;ISO/SAE Reserved;;;;ISO/SAE Reserved___
P2600 through P2699;;;;;___
;;;;;___
P2600 ;"Coolant Pump ""A"" Control Circuit/Open";;;;"Coolant Pump ""A"" Control Circuit/Open___"
;;;;;___
P2601 ;"Coolant Pump ""A"" Control Circuit Range/Performance";;;;"Coolant Pump ""A"" Control Circuit Range/Performance___"
;;;;;___
P2602 ;"Coolant Pump ""A"" Control Circuit Low";;;;"Coolant Pump ""A"" Control Circuit Low___"
;;;;;___
P2603 ;"Coolant Pump ""A"" Control Circuit High";;;;"Coolant Pump ""A"" Control Circuit High___"
;;;;;___
P2604 ;"Intake Air Heater ""A"" Circuit Range/Performance";;;;"Intake Air Heater ""A"" Circuit Range/Performance___"
;;;;;___
P2605 ;"Intake Air Heater ""B"" Circuit/Open";;;;"Intake Air Heater ""B"" Circuit/Open___"
;;;;;___
P2606 ;"Intake Air Heater ""B"" Circuit Range/Performance";;;;"Intake Air Heater ""B"" Circuit Range/Performance___"
;;;;;___
P2607 ;"Intake Air Heater ""B"" Circuit Low";;;;"Intake Air Heater ""B"" Circuit Low___"
;;;;;___
P2608 ;"Intake Air Heater ""B"" Circuit High";;;;"Intake Air Heater ""B"" Circuit High___"
;;;;;___
P2609 ;Intake Air Heater System Performance;;;;Intake Air Heater System Performance___
;;;;;___
P260A ;PTO Control Circuit /Open;;;;PTO Control Circuit /Open___
;;;;;___
P260B ;PTO Control Circuit Low;;;;PTO Control Circuit Low___
;;;;;___
P260C ;PTO Control Circuit High;;;;PTO Control Circuit High___
;;;;;___
P260D ;PTO Engaged Lamp Control Circuit;;;;PTO Engaged Lamp Control Circuit___
;;;;;___
P260E ;Diesel Particulate Filter Regeneration Lamp Control Circuit;;;;Diesel Particulate Filter Regeneration Lamp Control Circuit___
;;;;;___
P260F ;Evaporative System Monitoring Processor Performance;;;;Evaporative System Monitoring Processor Performance___
;;;;;___
P2610 ;ECM/PCM Internal Engine Off Timer Performance;;;;ECM/PCM Internal Engine Off Timer Performance___
;;;;;___
P2611 ;A/C Refrigerant Distribution Valve Control Circuit/Open;;;;A/C Refrigerant Distribution Valve Control Circuit/Open___
;;;;;___
P2612 ;A/C Refrigerant Distribution Valve Control Circuit Low;;;;A/C Refrigerant Distribution Valve Control Circuit Low___
;;;;;___
P2613 ;A/C Refrigerant Distribution Valve Control Circuit High;;;;A/C Refrigerant Distribution Valve Control Circuit High___
;;;;;___
P2614 ;Camshaft Position Signal Output Circuit/Open;;;;Camshaft Position Signal Output Circuit/Open___
;;;;;___
P2615 ;Camshaft Position Signal Output Circuit Low;;;;Camshaft Position Signal Output Circuit Low___
;;;;;___
P2616 ;Camshaft Position Signal Output Circuit High;;;;Camshaft Position Signal Output Circuit High___
;;;;;___
P2617 ;Crankshaft Position Signal Output Circuit/Open;;;;Crankshaft Position Signal Output Circuit/Open___
;;;;;___
P2618 ;Crankshaft Position Signal Output Circuit Low;;;;Crankshaft Position Signal Output Circuit Low___
;;;;;___
P2619 ;Crankshaft Position Signal Output Circuit High;;;;Crankshaft Position Signal Output Circuit High___
;;;;;___
P261A ;"Coolant Pump ""B"" Control Circuit/Open";;;;"Coolant Pump ""B"" Control Circuit/Open___"
;;;;;___
P261B ;"Coolant Pump ""B"" Control Circuit Range/Performance";;;;"Coolant Pump ""B"" Control Circuit Range/Performance___"
;;;;;___
P261C ;"Coolant Pump ""B"" Control Circuit Low";;;;"Coolant Pump ""B"" Control Circuit Low___"
;;;;;___
P261D ;"Coolant Pump ""B"" Control Circuit High";;;;"Coolant Pump ""B"" Control Circuit High___"
;;;;;___
P261E ;ISO/SAE Reserved;;;;ISO/SAE Reserved___
;;;;;___
P261F ;ISO/SAE Reserved;;;;ISO/SAE Reserved___
;;;;;___
P2620 ;Throttle Position Output Circuit/Open;;;;Throttle Position Output Circuit/Open___
;;;;;___
P2621 ;Throttle Position Output Circuit Low;;;;Throttle Position Output Circuit Low___
;;;;;___
P2622 ;Throttle Position Output Circuit High;;;;Throttle Position Output Circuit High___
;;;;;___
P2623 ;Injector Control Pressure Regulator Circuit/Open;;;;Injector Control Pressure Regulator Circuit/Open___
;;;;;___
P2624 ;Injector Control Pressure Regulator Circuit Low;;;;Injector Control Pressure Regulator Circuit Low___
;;;;;___
P2625 ;Injector Control Pressure Regulator Circuit High;;;;Injector Control Pressure Regulator Circuit High___
;;;;;___
P2626 ;O2 Sensor Pumping Current Trim Circuit/Open Bank 1 Sensor 1;;;;O2 Sensor Pumping Current Trim Circuit/Open Bank 1 Sensor 1___
;;;;;___
P2627 ;O2 Sensor Pumping Current Trim Circuit Low Bank 1 Sensor 1;;;;O2 Sensor Pumping Current Trim Circuit Low Bank 1 Sensor 1___
;;;;;___
P2628 ;O2 Sensor Pumping Current Trim Circuit High Bank 1 Sensor 1;;;;O2 Sensor Pumping Current Trim Circuit High Bank 1 Sensor 1___
;;;;;___
P2629 ;O2 Sensor Pumping Current Trim Circuit/Open Bank 2 Sensor 1;;;;O2 Sensor Pumping Current Trim Circuit/Open Bank 2 Sensor 1___
;;;;;___
P262A ;ISO/SAE Reserved;;;;ISO/SAE Reserved___
;;;;;___
P262B ;ISO/SAE Reserved;;;;ISO/SAE Reserved___
;;;;;___
P262C ;ISO/SAE Reserved;;;;ISO/SAE Reserved___
;;;;;___
P262D ;ISO/SAE Reserved;;;;ISO/SAE Reserved___
;;;;;___
P262E ;ISO/SAE Reserved;;;;ISO/SAE Reserved___
;;;;;___
P262F ;ISO/SAE Reserved;;;;ISO/SAE Reserved___
;;;;;___
P2630 ;O2 Sensor Pumping Current Trim Circuit Low Bank 2 Sensor 1;;;;O2 Sensor Pumping Current Trim Circuit Low Bank 2 Sensor 1___
;;;;;___
P2631 ;O2 Sensor Pumping Current Trim Circuit High Bank 2 Sensor 1;;;;O2 Sensor Pumping Current Trim Circuit High Bank 2 Sensor 1___
;;;;;___
P2632 ;"Fuel Pump ""B"" Control Circuit /Open";;;;"Fuel Pump ""B"" Control Circuit /Open___"
;;;;;___
P2633 ;"Fuel Pump ""B"" Control Circuit Low";;;;"Fuel Pump ""B"" Control Circuit Low___"
;;;;;___
P2634 ;"Fuel Pump ""B"" Control Circuit High";;;;"Fuel Pump ""B"" Control Circuit High___"
;;;;;___
P2635 ;"Fuel Pump ""A"" Low Flow/Performance";;;;"Fuel Pump ""A"" Low Flow/Performance___"
;;;;;___
P2636 ;"Fuel Pump ""B"" Low Flow/Performance";;;;"Fuel Pump ""B"" Low Flow/Performance___"
;;;;;___
P2637 ;"Torque Management Feedback Signal ""A""";;;;"Torque Management Feedback Signal ""A""___"
;;;;;___
P2638 ;"Torque Management Feedback Signal ""A"" Range/Performance";;;;"Torque Management Feedback Signal ""A"" Range/Performance___"
;;;;;___
P2639 ;"Torque Management Feedback Signal ""A"" Low";;;;"Torque Management Feedback Signal ""A"" Low___"
;;;;;___
P263A ;ISO/SAE Reserved;;;;ISO/SAE Reserved___
;;;;;___
P263B ;ISO/SAE Reserved;;;;ISO/SAE Reserved___
;;;;;___
P263C ;ISO/SAE Reserved;;;;ISO/SAE Reserved___
;;;;;___
P263D ;ISO/SAE Reserved;;;;ISO/SAE Reserved___
;;;;;___
P263E ;ISO/SAE Reserved;;;;ISO/SAE Reserved___
;;;;;___
P263F ;ISO/SAE Reserved;;;;ISO/SAE Reserved___
;;;;;___
P2640 ;"Torque Management Feedback Signal ""A"" High";;;;"Torque Management Feedback Signal ""A"" High___"
;;;;;___
P2641 ;"Torque Management Feedback Signal ""B""";;;;"Torque Management Feedback Signal ""B""___"
;;;;;___
P2642 ;"Torque Management Feedback Signal ""B"" Range/Performance";;;;"Torque Management Feedback Signal ""B"" Range/Performance___"
;;;;;___
P2643 ;"Torque Management Feedback Signal ""B"" Low";;;;"Torque Management Feedback Signal ""B"" Low___"
;;;;;___
P2644 ;"Torque Management Feedback Signal ""B"" High";;;;"Torque Management Feedback Signal ""B"" High___"
;;;;;___
P2645 ;A Rocker Arm Actuator Control Circuit/Open Bank 1;;;;A Rocker Arm Actuator Control Circuit/Open Bank 1___
;;;;;___
P2646 ;A Rocker Arm Actuator System Performance/Stuck Off Bank 1;;;;A Rocker Arm Actuator System Performance/Stuck Off Bank 1___
;;;;;___
P2647 ;A Rocker Arm Actuator System Stuck On Bank 1;;;;A Rocker Arm Actuator System Stuck On Bank 1___
;;;;;___
P2648 ;A Rocker Arm Actuator Control Circuit Low Bank 1;;;;A Rocker Arm Actuator Control Circuit Low Bank 1___
;;;;;___
P2649 ;A Rocker Arm Actuator Control Circuit High Bank 1;;;;A Rocker Arm Actuator Control Circuit High Bank 1___
;;;;;___
P264A ;A Rocker Arm Actuator Position Sensor Circuit Bank 1;;;;A Rocker Arm Actuator Position Sensor Circuit Bank 1___
;;;;;___
P264B ;A Rocker Arm Actuator Position Sensor Circuit Range/Performance Bank 1;;;;A Rocker Arm Actuator Position Sensor Circuit Range/Performance Bank 1___
;;;;;___
P264C ;A Rocker Arm Actuator Position Sensor Circuit Low Bank 1;;;;A Rocker Arm Actuator Position Sensor Circuit Low Bank 1___
;;;;;___
P264D ;A Rocker Arm Actuator Position Sensor Circuit High Bank 1;;;;A Rocker Arm Actuator Position Sensor Circuit High Bank 1___
;;;;;___
P264E ;A Rocker Arm Actuator Position Sensor Circuit Intermittent/Erratic Bank 1;;;;A Rocker Arm Actuator Position Sensor Circuit Intermittent/Erratic Bank 1___
;;;;;___
P264F ;ISO/SAE Reserved;;;;ISO/SAE Reserved___
;;;;;___
P2650 ;B Rocker Arm Actuator Control Circuit/Open Bank 1;;;;B Rocker Arm Actuator Control Circuit/Open Bank 1___
;;;;;___
P2651 ;B Rocker Arm Actuator System Performance/Stuck Off Bank 1;;;;B Rocker Arm Actuator System Performance/Stuck Off Bank 1___
;;;;;___
P2652 ;B Rocker Arm Actuator System Stuck On Bank 1;;;;B Rocker Arm Actuator System Stuck On Bank 1___
;;;;;___
P2653 ;B Rocker Arm Actuator Control Circuit Low Bank 1;;;;B Rocker Arm Actuator Control Circuit Low Bank 1___
;;;;;___
P2654 ;B Rocker Arm Actuator Control Circuit High Bank 1;;;;B Rocker Arm Actuator Control Circuit High Bank 1___
;;;;;___
P2655 ;A Rocker Arm Actuator Control Circuit/Open Bank 2;;;;A Rocker Arm Actuator Control Circuit/Open Bank 2___
;;;;;___
P2656 ;A Rocker Arm Actuator System Performance/Stuck Off Bank 2;;;;A Rocker Arm Actuator System Performance/Stuck Off Bank 2___
;;;;;___
P2657 ;A Rocker Arm Actuator System Stuck On Bank 2;;;;A Rocker Arm Actuator System Stuck On Bank 2___
;;;;;___
P2658 ;A Rocker Arm Actuator Control Circuit Low Bank 2;;;;A Rocker Arm Actuator Control Circuit Low Bank 2___
;;;;;___
P2659 ;A Rocker Arm Actuator Control Circuit High Bank 2;;;;A Rocker Arm Actuator Control Circuit High Bank 2___
;;;;;___
P265A ;B Rocker Arm Actuator Position Sensor Circuit Bank 1;;;;B Rocker Arm Actuator Position Sensor Circuit Bank 1___
;;;;;___
P265B ;B Rocker Arm Actuator Position Sensor Circuit Range/Performance Bank 1;;;;B Rocker Arm Actuator Position Sensor Circuit Range/Performance Bank 1___
;;;;;___
P265C ;B Rocker Arm Actuator Position Sensor Circuit Low Bank 1;;;;B Rocker Arm Actuator Position Sensor Circuit Low Bank 1___
;;;;;___
P265D ;B Rocker Arm Actuator Position Sensor Circuit High Bank 1;;;;B Rocker Arm Actuator Position Sensor Circuit High Bank 1___
;;;;;___
P265E ;B Rocker Arm Actuator Position Sensor Circuit Intermittent/Erratic Bank 1;;;;B Rocker Arm Actuator Position Sensor Circuit Intermittent/Erratic Bank 1___
;;;;;___
P265F ;ISO/SAE Reserved;;;;ISO/SAE Reserved___
;;;;;___
P2660 ;B Rocker Arm Actuator Control Circuit/Open Bank 2;;;;B Rocker Arm Actuator Control Circuit/Open Bank 2___
;;;;;___
P2661 ;B Rocker Arm Actuator System Performance/Stuck Off Bank 2;;;;B Rocker Arm Actuator System Performance/Stuck Off Bank 2___
;;;;;___
P2662 ;B Rocker Arm Actuator System Stuck On Bank 2;;;;B Rocker Arm Actuator System Stuck On Bank 2___
;;;;;___
P2663 ;B Rocker Arm Actuator Control Circuit Low Bank 2;;;;B Rocker Arm Actuator Control Circuit Low Bank 2___
;;;;;___
P2664 ;B Rocker Arm Actuator Control Circuit High Bank 2;;;;B Rocker Arm Actuator Control Circuit High Bank 2___
;;;;;___
P2665 ;"Fuel Shutoff Valve ""B"" Control Circuit/Open";;;;"Fuel Shutoff Valve ""B"" Control Circuit/Open___"
;;;;;___
P2666 ;"Fuel Shutoff Valve ""B"" Control Circuit Low";;;;"Fuel Shutoff Valve ""B"" Control Circuit Low___"
;;;;;___
P2667 ;"Fuel Shutoff Valve ""B"" Control Circuit High";;;;"Fuel Shutoff Valve ""B"" Control Circuit High___"
;;;;;___
P2668 ;Fuel Mode Indicator Lamp Control Circuit;;;;Fuel Mode Indicator Lamp Control Circuit___
;;;;;___
P2669 ;"Actuator Supply Voltage ""B"" Circuit /Open";;;;"Actuator Supply Voltage ""B"" Circuit /Open___"
;;;;;___
P266A ;A Rocker Arm Actuator Position Sensor Circuit Bank 2;;;;A Rocker Arm Actuator Position Sensor Circuit Bank 2___
;;;;;___
P266B ;A Rocker Arm Actuator Position Sensor Circuit Range/Performance Bank 2;;;;A Rocker Arm Actuator Position Sensor Circuit Range/Performance Bank 2___
;;;;;___
P266C ;A Rocker Arm Actuator Position Sensor Circuit Low Bank 2;;;;A Rocker Arm Actuator Position Sensor Circuit Low Bank 2___
;;;;;___
P266D ;A Rocker Arm Actuator Position Sensor Circuit High Bank 2;;;;A Rocker Arm Actuator Position Sensor Circuit High Bank 2___
;;;;;___
P266E ;A Rocker Arm Actuator Position Sensor Circuit Intermittent/Erratic Bank 2;;;;A Rocker Arm Actuator Position Sensor Circuit Intermittent/Erratic Bank 2___
;;;;;___
P266F ;ISO/SAE Reserved;;;;ISO/SAE Reserved___
;;;;;___
P2670 ;"Actuator Supply Voltage ""B"" Circuit Low";;;;"Actuator Supply Voltage ""B"" Circuit Low___"
;;;;;___
P2671 ;"Actuator Supply Voltage ""B"" Circuit High";;;;"Actuator Supply Voltage ""B"" Circuit High___"
;;;;;___
P2672 ;Injection Pump Timing Offset;;;;Injection Pump Timing Offset___
;;;;;___
P2673 ;Injection Pump Timing Calibration Not Learned;;;;Injection Pump Timing Calibration Not Learned___
;;;;;___
P2674 ;Injection Pump Fuel Calibration Not Learned;;;;Injection Pump Fuel Calibration Not Learned___
;;;;;___
P2675 ;Air Cleaner Inlet Control Circuit/Open;;;;Air Cleaner Inlet Control Circuit/Open___
;;;;;___
P2676 ;Air Cleaner Inlet Control Circuit Low;;;;Air Cleaner Inlet Control Circuit Low___
;;;;;___
P2677 ;Air Cleaner Inlet Control Circuit High;;;;Air Cleaner Inlet Control Circuit High___
;;;;;___
P2678 ;Coolant Degassing Valve Control Circuit/Open;;;;Coolant Degassing Valve Control Circuit/Open___
;;;;;___
P2679 ;Coolant Degassing Valve Control Circuit Low;;;;Coolant Degassing Valve Control Circuit Low___
;;;;;___
P267A ;B Rocker Arm Actuator Position Sensor Circuit Bank 2;;;;B Rocker Arm Actuator Position Sensor Circuit Bank 2___
;;;;;___
P267B ;B Rocker Arm Actuator Position Sensor Circuit Range/Performance Bank 2;;;;B Rocker Arm Actuator Position Sensor Circuit Range/Performance Bank 2___
;;;;;___
P267C ;B Rocker Arm Actuator Position Sensor Circuit Low Bank 2;;;;B Rocker Arm Actuator Position Sensor Circuit Low Bank 2___
;;;;;___
